"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5, C6, C7, C8, C11, C12, C17";"C_0402_1005Metric";11;"0.1uF";;;
2;"C9, C10";"C_0402_1005Metric";2;"1uF";;;
3;"C13, C14";"C_0603_1608Metric";2;"10uF";;;
4;"C15, C16";"C_0402_1005Metric";2;"33pF";;;
5;"D1";"LED_0805_2012Metric";1;"LED";;;
6;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
7;"J2";"PinHeader_1x20_P2.54mm_Vertical";1;"LEFT_CONN";;;
8;"J3";"PinHeader_1x20_P2.54mm_Vertical";1;"RIGHT_CONN";;;
9;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"DEBUG_CONN";;;
10;"R1, R2";"R_0402_1005Metric";2;"5.1K";;;
11;"R3, R4";"R_0402_1005Metric";2;"27";;;
12;"R5, R7";"R_0402_1005Metric";2;"1K";;;
13;"R6, R8";"R_0402_1005Metric";2;"10K";;;
14;"R9";"R_0201_0603Metric";1;"220";;;
15;"SW1, SW2";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
16;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
17;"U2";"SOT-23";1;"MCP1700x-330xxTT";;;
18;"U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q128JVS";;;
19;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24_WITH_4_PIN";;;
