Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C17, C2, C3, C4, C5, C6, C7, C8",0402,11,0.1uF,C1525
"C10, C9",0402,2,1uF,C52923
"C13, C14",0603,2,10uF,C19702
"C15, C16",0402,2,33pF,C1562
"GPIO2, GPIO3",0805,2,LED,C2297
"GPIO4, GPIO5, RUN1, SW1",SW_Push_SPST_NO_Alps_SKRK,4,SW_Push,C720477
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,PinSocket_1x11_P2.54mm_Vertical,1,gpioB,C124407 (14P cut to 11)
J4,PinSocket_1x18_P2.54mm_Vertical,1,gpioA,C124410 (20P cut to 18)
J5,PinSocket_1x03_P2.54mm_Vertical,1,debug,C49257
J6,PinSocket_1x05_P2.54mm_Vertical,1,power,C124414
J8,PinSocket_1x10_P2.54mm_Vertical,1,gnd line,C124407 (14P cut to 10)
J9,PinSocket_1x10_P2.54mm_Vertical,1,3v3 line,C124407 (14P cut to 10)
J11,PinSocket_1x10_P2.54mm_Vertical,1,5v line,C124407 (14P cut to 10)
"R1, R2",0402,2,5.1K,C25905
"R10, R9",0402,2,220,C25091
"R11, R6, R8",0805,3,10K,C17414
"R3, R4",0402,2,22,C25092
"R5, R7",0402,2,1K,C11702
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23,1,MCP1700x-330xxTT,C5446
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521 (W25Q128JVSIQ)
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_WITH_4_PIN,C9002
