Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C17, C2, C3, C4, C5, C6, C7, C8",0402,11,0.1uF,C1525
"C10, C9",0402,2,1uF,C77006
"C13, C14",0603,2,10uF,C19702
"C15, C16",0402,2,33pF,C1562
D1,0805,1,LED,C2297
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,PinHeader_1x20_P2.54mm_Vertical,1,LEFT_CONN,C50981
J3,PinHeader_1x20_P2.54mm_Vertical,1,RIGHT_CONN,C50981
J5,PinHeader_1x03_P2.54mm_Vertical,1,DEBUG_CONN,C49257
"R1, R2",0402,2,5.1K,C25905
"R3, R4",0402,2,22,C25092
"R5, R7",0402,2,1K,C11702
"R6, R8",0402,2,10K,C25744
R9,0201,1,220,C25091
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23,1,MCP1700x-330xxTT,C5446
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,C97521
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_WITH_4_PIN,C9002
