Designator,Mid X,Mid Y,Rotation,Layer
C1,146.25,-69.375,0.0,top
C10,153.477,-53.794,0.0,top
C11,153.487,-52.834,0.0,top
C12,153.467,-54.764,0.0,top
C13,152.805,-42.63,0.0,top
C14,147.445,-46.55,180.0,top
C15,148.641,-69.507,0.0,top
C16,151.963,-70.973,90.0,top
C17,144.94,-48.56,180.0,top
C2,146.249,-71.306,0.0,top
C3,144.462,-66.418,0.0,top
C4,153.753,-58.371,0.0,top
C5,143.343,-67.678,270.0,top
C6,153.749,-59.329,0.0,top
C7,146.251,-68.406,0.0,top
C8,153.754,-57.4,0.0,top
C9,146.249,-70.337,0.0,top
D1,144.93,-46.157501,270.0,top
J1,149.84,-36.59,180.0,top
J2,141.11,-60.0,0.0,top
J3,158.89,-60.0,0.0,top
J5,150.0,-83.89,90.0,top
R1,155.25,-42.35,0.0,top
R2,145.88,-42.43,180.0,top
R3,151.515,-57.925,90.0,top
R4,150.525,-57.925,90.0,top
R5,150.53,-69.517,180.0,top
R6,146.02,-58.94,0.0,top
R7,151.6,-52.08,90.0,top
R8,146.74,-79.619999,90.0,top
R9,145.02,-43.96,180.0,top
SW1,153.29,-48.14,270.0,top
SW2,148.97,-77.78,90.0,top
U1,149.84,-63.59,90.0,top
U2,148.22,-43.8125,270.0,top
U3,147.325,-53.7675,0.0,top
Y2,149.358,-71.781,180.0,top
